nom,texte_combine
La loge,
Jeune création,
The ister,
Komplot,
Abilene,
Etablissement d'en face,
Le Commissariat,"The Commission is a production structure for contemporary art exhibitions founded in 2006. It is at the initiative of fifty exhibitions and events in France and abroad, it presents the works of emerging and confirmed artists and regularly collaborates with invited Commissioners. The Commission is part of TRIIZE and shares its exhibition site and offices with Red Shoes, Gallien Djean and Ali_fib gigs. The Commission was founded in 2006 by Fayçal Bagriche, Mathieu Clainchard, Dorothée Dupuis and Vincent Ganivet. From 2008 to 2011, independent exhibition Commissioner Damien Airault provided the lead. In 2012, artists Mathis Collins, Sébastien Rémy and Cyril Green formed the new team. Caroline Mesquita and Nicolas Muller as active members organize each exhibition. Laura Lemarois participates in the organization of the exhibition Caravanseril energy-plus-exposure in the Belleville biennium. In 2013, Anne-Claire Duprat joins the Commission team."
Artists Club Coffre-Fort,
/ 77,"All of the activities that we will develop and organize will have no budget and no lucrative aims: this will not be a limit but it will turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration._x000D_ Tell us who you are, introduce your project or just step by to have a look. ""English-x000D_77 is a collection of artists composed of Julia Ratti, Alessandro Moroni, Colombo Nicole and Luke Loreti. The purpose of the collection is to create partnerships and projects involving young artists, without great experience of the exhibition. The main interest is to stimulate a collective debate on the work and research of individual artists as well as in the field of art."
Station Mir,
Island,
Theophile's Papers,
Rosa Brux,
HECTOLITER,
Immanence,"Immania was created in 1998 at a time when many artists appeared. These exhibition sites were also a response to a particular situation. The context of the period is: The financial crisis in France will see the expansion of the market of art, starting in the first years of this century. The artists are no longer able to expose themselves in the galleries after the others. They will create their own structures of art. They are more complex and the financial crisis is not only false, they are added to the generation crisis in the world of art. This is not because a place is created and managed by one or more artists that this place is a work. It is even a counter-sensitivity. Artists who open and manage exhibition sites are curators. They have a double activity. They have an artistic activity and a curatorial activity. Sometimes these two activities are believed. The question that can be asked is: Is artistic activity able to influence curatorial and inverse activity? Sometimes it can happen that the artistic work of a curator is closely related to one or more organized exhibitions. Sometimes artistic practice is far from curative practice."
DEHORS Contemporary Art Window,
De La Charge,
c-o-m-p-o-s-i-t-e,
Greylight Projects,
HEKLA,
L'appartement,
castillo/corrales,
Lieu d'exposition en voie de déplacement (LEVD),"Born in 2014 of the initiative of two plastic artists, Mahé de Rosière and Dimitri Kiosseff, the place of exhibition on the way of movement (LEVD) is an association structure designed as a means to design production and dissemination frameworks for contemporary art regardless of cultural institutions, galleries or systems of residence. ""For artists, for artists"" could be the word of order. The place of exhibition on the way of movement is a simple direction: to find places, space for exhibitions, to perform a series of short events, during which the artists are invited. In order to enrich each project led by the cultural institutions, galleries or systems of residence. The LEVD is investing in a new place, temporary exhibition space, for each exhibition cycle. The association is located in Lyon for its first project and aims to highlight the emerging artistic scene by bringing artists from four corners of France together. From 17 April to 25 May 2014Cycla 1: From 15 a.m. to 19 p.m. and on your date Screening Fund #1: from day to night."
mezcla,"_x000D_ Association for the promotion and mediation of contemporary art. Open place, promotes exchanges and metamorphosis. The driving line is freedom of practice and expression. collective and individual exhibitions succeed, in collaboration with other associations and galleries."
BLINDSIDE,"BLINDSIDE is an independent contemporary arts space located in the heart of Melbourne established in 2004. We are committed to supporting and promoting contemporary art practice across a broad range of media through an ever-changing program of exhibitions, screenings, events and workshops. BLINDSIDE supports a thriving arts community in Melbourne and beyond—encouraging artistic experimentation, innovation and facilitating critical dialogue."
le collectif  d'en face,
22 rue muller,
Où,
Rogertator,"Association Act 1901 recognized as of general interest to cultural interest created in 1994, the Roger Tator gallery is a place of experimentation. Crossing the fields of expressions, design, contemporary art, architecture, its, virtual image, it offers a cross-cutting view of the project concept through its programming."
Straat galerie,
H+,"The H+ Gallery is a Lebanese gallery, created at 11/11/11, specialized in digital art. It presents creations using technology as a new medium, in art, design, and event areas."
identité remarquable,
KINGS Artist Run,"Kings Artist Run currently supports a range of projects across three exhibition spaces in which artists, collectives and curators are provided with a supportive platform within which to form new work. Kings Artist Run also fosters and incorporates DUDSPACE, an additional independent space within the gallery, distinctively offering an opportunity for artists, collectives and curators to expand their practice within unconventional situations, circumstances and locations. Kings Artist Run also presents a program of singular ‘one off’ events and actions through its Flash Night Program, as well as managing and supporting studio artists and writers through the provision of workspaces within the Kings Artist Run community._x000D_ The annual exhibition program at Kings Artist Run is formed around individual exhibition projects interspersed with thematic curatorial projects. Therefore each half-year of the exhibition and event program involves a thematic grouping of focused projects evoking and forming a discourse around specific subjects, supported by allied events and talks. Notably, Kings Artist Run equally supports artists wishing to undertake single or individual projects unrelated to our programming themes, locating these individual exhibition projects within a gallery culture involving focused curatorial undertakings that form a platform for initiating new ideas as a way of developing critical social relations. _x000D_ Kings Artist Run is a non-for-profit gallery in Melbourne’s CBD_x000D_ _x000D_ _x000D_ Kings Artist Run provides a location for contemporary art practice, supporting distinctive experimental projects by artists at all stages of their careers. Kings ARI assists and promotes the development of solo exhibitions, group and thematic projects, along with a program of events that includes performance, film screenings, public gatherings and talks._x000D_ _x000D_ Functioning as a collective of artists, writers, curators and academics, Kings Artist Run was formed to explore, interpret and participate in the mediation of new social and cultural meanings. In 2013 Kings Artist Run celebrated its 10th anniversary._x000D_ _x000D_"
Quellkollektiv,"The Association Quellcollectiv emerges from the association of several residents in a building linking cultural operators collectively through the metropolitan region of Nuremberg. _x000D_ The association operates the gallery ""Hute:_"" and supports ""We buy the source"". _x000D_ Our members are creative and performers artists, designers, artists, architects, musicians, activists, artists, organizers, editors and others who create culture professionally or in their free time."
Zebra3/Buy-sellf,Buy-Sellf is an artist collective which collects and proposes objects that are not mass-produced but are the outcome of artistic processes.
Aperto ,
Khiasma,
Galerie RDV ,
La Station,
Le Pays où le ciel est toujours bleu ,
L'inlassable galerie,
