nom,texte,multi_topics,multi_topics_no_threshold
W,"W was installed in the East of Paris, in Pantin in February 2010. The space has two very different potentials: the first level is an abbreviation space, the second working space. W aims at the quality of the expressions and meetings. We have created a tool to take risks, an independent experiment space. Nine W artists, each of them build a single practice, and each of these practices is absolutely based on its headquarters. The project is alive because they work together of different methods and models. Members do not have the same idea of what their associations, including thematics, and their joint initiatives are designed to give him the idea of what they are thinking. MEMBRES FONDATEURS DE W (2010) / W FOUNDERS (2010)Sylvain AzamFanny ChâlotJudith EspinasSophie LammYannick LangloisSami TrabelsiSimon ZagariGiuliana Zefferi",[0],"[0, 6]"
HECTOLITER,"H E C T O L I T E R is a project space for contemporary art based in Brussels, Belgium.Founded in 2009 by Tine Ringelé and Nico Sall . Joined by Christophe Piette in 2015.H E C T O L I T E R is a non-profit organisation.",[],[0]
Artists Club Coffre-Fort,"In March 2012, Thibaut Espiau, Ištvan Išt Huzjan and Grégoire Motte established the Artists Club, a group of artists whose primary activity is spending time together and discussion but not developing an art practice as a collective. A few months later, they discovered a huge Fichet Bauche brand vault on the mezzanine floor of the building where they had their studios. This steel cube of several tones was to mark the start of a palpable artistic collaboration between members of the club as well as the opening of an exhibition space. Both activities are closely intertwined....First worksThe renovation of the vault and the surrounding room gave rise to the frst works by the trio of artists. These were mostly objects documenting the way the space was used (First foor cloth (pink and pierced)) or things they fnd in the rubble (A little gold) or the use of the volume of rooms as a camera obscura to observe the street upside down. The Vault The box is a cube of 230 x 280 x 230 cm. The interior space measures 200 x 250 x 200 cm. It is placed in the middle of a room of thirty square meters on the mezzanine of a former jeweler’s place located on 63 Rue du Houblon in the centre of Brussels. From the street, two windows give a view looking down onto the vault and a third window serves as a showcase for graphic proposals. On December 20th, 2012, the Vault was un<0x02>veiled to the public as a work by the Artists Club as well as a new exhibition space. It was empty and simply furnished with a white carpet. What followed was a party. The Carpet The dirty white carpet was removed and kept as another trace of evolution of the Artists Club’s Vault: a trace from the frst meeting between the Vault and it’s public. Since then, for each exhibition, the Artists Club changes the carpet in the Vault, and keeps it as a sou<0x02>venir of the collaboration with the guest artist. Invited by the Brussels based fair ‘Brussels Cologne Contemporaries’ The Artists Club presented their collection of eleven carpets in January 2014 in Cologne. Exhibitions The frequency and duration of the exhibitions is very irregular (one night only sometimes) because the goal is not to “make exhibitions” but to try to invite artists who belong to Artists Club personal art history and to make it public. With very limited fnancial resour<0x02>ces, Artists Club often has to wait, like a trapdoor spider, for artists to be close to Brussels in order to work with them in the Vault. We claim periods of inactivity as well as the furtive nature of certain exhibitions because we think it is more natural than a continuous stream of proposals. We are artists and we run the place as such. The exhibitions at the Vault are the result of discussions between artists (who integrate the Club for the duration of the exhibition) and us. So in some respects, these exhibitions are actually collaborations. We produce with each artist an edition that accompanies the exhibition. These editions are small booklets, posters, sound works on USB keys, etc.","[3, 4]","[0, 2, 5, 6]"
/ 77,"All of the activities that we will develop and organize will have no budget and no lucrative aims: this will not be a limit but it will turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration. Tell us who you are, introduce your project or just step by to have a look. -English below- /77 a été fondé à Milan en 2015 par Alessandro Moroni et Giulia Ratti. Jusqu'en 2017 en collectif avec Nicole Colombo et Luca Loreti. Le but du collectif est de créer des partenariats et des projets qui impliquent des jeunes artistes, sans grande expérience de l' exposition. L'intérêt principal est de stimuler un débat collectif sur le travail et la recherche d'artistes individuels aussi et surtout à l'extérieur champ d'exposition. / 77 vise à être le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de leur travail.L'intérêt principal du collectif est l'expérimentation et la recherche. L'espace physique est un lieu où les travaux sont au pouvoir, un laboratoire où les idées sont en cours d'élaboration. Avec notre travail, nous créons un réseau entre les artistes, les œuvres et les institutions maintiennent toujours vivant le débat sur l'art contemporain et de l'actualité. Notre pratique est de comprendre et de répondre aux besoins des jeunes artistes en leur offrant la possibilité de développer des projets qui leur permettront d'approfondir leur recherche. -- /77 was founded in Milan in 2015 by Alessandro Moroni and Giulia Ratti. Up to 2017 it has been run together with Nicole Colombo and Luca Loreti./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition.We chose to work with young artists exclusively because we are interested inexperimentation and research in its embryonic stage. The frame of the studio as an art space in which the artwork is not fully concluded yet or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.",[3],"[2, 3, 4]"
Island,"Island is a non profit art space, opened in 2012 by Belgian artists Sébastien Bonin and Brice Guilbert. Since its opening, Island’s aim has been to promote artists and their work through exhibitions, conferences, screenings, etc. Mainly focusing on the belgian scene, Island has been presenting emerging artists.Island also collaborates with established artists to encourage the transmission of skillsand experience/best practice. Island is a place for sharing and creating contemporary propositions.It is also a space where artists are allowed to experiment, not constrained by a curatorial lead.This allows for a multitude of propositions to emerge, often antithetical and opposite. Therefore, every exhibition is unique, conceived according to its own criteria without referencing previous projects.","[0, 4]",[1]
Immanence,"Immantique is a place of exhibition, diffusion, production, experimentation in favour of contemporary creation, resulting in various fields of contemporary art. Immanence is a very primitive place for contemporary artists. Immanence promotes the diversity and diversity of the media (painting, video, digital art, dance, performance, installations, design, architecture...) offering to the public a wide range of proposals and creation. Immanence is a space of contemporary art in the service of contemporary artists. Immanence is also associated with the diversity and diversity of contemporary artists. The 21st Avenue of Maine is one of the high places of artistic creation in Paris. Today it is preserved from the real estate speculation, and property of the city of Paris, it is a monumental place, one of the islands of Montparnasse's artistic life, composed of a set of workshops built from the beginning of the century into a small fortress where buildings in brick and glass are buried under the vineyard. Named by its occupations, alley, impregnated or street, the 21st Avenue of Maine was sometimes the chassis of the Maine. Property in 1861 of the Goufier and Bauban women, it was a line of post where the 19th century was changed to the King's. Immania was created in 1998 at a time when many artists appeared. These exhibition sites were also a response to a particular situation. The context of the period is: The financial crisis in France will see the expansion of the market of art, starting in the first years of this century. The artists are no longer able to expose themselves in the galleries after the others. They will create their own structures of art. They are more complex and the financial crisis is not only false, they are added to the generation crisis in the world of art. There are times when the artistic work of an artist is related to one or more exhibitions. Sometimes the artistic practice is removed from the curator's practice. Whatever is, this dual practice of a curator is said to be completely occupied and lived. In the fundamental artists of the place, the artistic activity is parallel to the management of an exhibition. These artists show an alternative mode of operation of a line. An exhibition, organized by an artist-run, perhaps a model of design.",[3],"[3, 5, 6]"
DEHORS Contemporary Art Window,"One wine in town, one artist per month, thousands of spectators.",[],[]
Irmavep Club,"Irmavep Club is a collection of artists and commissions who are directly involved in the IrmaVepLab project from 2004 to 2010, in Châtillon-sur-Marne (the initiative gets the status of art centre in 2006). For its installation in Paris, the collective has chosen to work fully as a run-up artist, while still traveling, and to respond to invitations from different places, whether private or institutional.In the form of a club, it is to create links and generate critical conversations between artists, professionals and exhibition commissions, as well as to discover a wide range of works that remain in Paris. IrmaVepLab's association was born in 2003 in Châtillon-sur-Marne in the ancient home of the artist Musidora. This feminist started his career in the Bergeres before the ""Irma Vep"" heroin of Louis Feuillade's film ""The Vampires"" in 1915.Musidora received in his home many artists from the Surrealist movement, many actors and filmmakers from the 20th century. This house was then a collection of art and converging.In 2003, a collection of artists and professionals recognized as the foundation of the ""IrmaVepLab'atures"", which had been built by the artist's house.",[2],"[2, 4]"
H+,"The H+ Gallery is a Lebanese gallery, created at 11/11/11, specialized in digital art. It presents creations using technology as a new medium, in art, design, and event areas.",[2],[]
BLINDSIDE,"BLINDSIDE is an independent contemporary arts space located in the heart of Melbourne established in 2004. We are committed to supporting and promoting contemporary art practice across a broad range of media through an ever-changing program of exhibitions, screenings, events and workshops. BLINDSIDE supports a thriving arts community in Melbourne and beyond—encouraging artistic experimentation, innovation and facilitating critical dialogue.Blindside is a founding and current member of All Conference – a national organising network comprised of 17 artist-led, experimental and cross-disciplinary arts organisations. Pivotal to Blindside’s success has been our location in one of Melbourne’s iconic creative spaces – the Nicholas Building. In 2004 Renai Grace, Pip Haydon, Simon Koger and Christine Morrow founded Blindside with the objective to make space for local and interstate artists, writers and curators to engage in critical dialogue and creative exchange. Since then, Blindside has consistently expanded with new initiatives, projects and collaborations, to shape the professional development of many artists, writers and curators locally, nationally and internationally. The annual proposal-based program and Blindside-led project series offer artists, writers and curators vital support and opportunity at critical junctures in their creative and professional practices. Our community is diverse and always growing. The annual program delivers a diverse offering of online and in-gallery exhibitions, events, performances, public programs, education and professional development programs, and mentorships to broad audiences. Blindside’s growth and artistic direction has been shaped by the collective enthusiasm and expertise of voluntary Artistic Directors, Board, Associate and Advisory members. Longstanding annual platforms and more recent Blindside initiatives include Debut (since 2005); The B-SIDE / Curtain Call (2007-2016); Screen Series (since 2010); Sound Series (since 2009); Summer Studio (since 2011); Showstoppers/ Blindside Live (2011-2015); Blindside Festival (2012, 2014, 2016); PLAY + PLAY II (2014-2017); (Emerging Curator Mentorship (since 2017); Regional Art + Research Residency (since 2017); First Nations Project (since 2018); Satellite (since 2018); and Mobile (since 2021).Continued support enables Blindside to offer exhibition space free of charge, extending Blindside’s support to creative practitioners and consolidating our position as an artistic and educational hub.",[1],"[1, 3, 4, 5]"
