nom,texte,processed_text,word_count,topic_keybert,topic_probability_keybert
W,"W was installed in the East of Paris, in Pantin in February 2010. The space has two very different potentials: the first level is an abbreviation space, the second working space. W aims at the quality of the expressions and meetings. We have created a tool to take risks, an independent experiment space. Nine W artists, each of them build a single practice, and each of these practices is absolutely based on its headquarters. The project is alive because they work together of different methods and models. Members do not have the same idea of what their associations, including thematics, and their joint initiatives are designed to give him the idea of what they are thinking. MEMBRES FONDATEURS DE W (2010) / W FOUNDERS (2010)Sylvain AzamFanny ChâlotJudith EspinasSophie LammYannick LangloisSami TrabelsiSimon ZagariGiuliana Zefferi",installed east CITY pantin february 2010 space different potentials level abbreviation space second working space aims quality expressions meetings created tool risks independent experiment space artists build single practice practices absolutely based headquarters project alive work different methods models members idea associations including thematics joint initiatives designed idea thinking membres fondateurs 2010 founders 2010 sylvain azamfanny châlotjudith espinassophie lammyannick langloissami trabelsisimon zagarigiuliana zefferi,63,65,1.0
HECTOLITER,"H E C T O L I T E R is a project space for contemporary art based in Brussels, Belgium.Founded in 2009 by Tine Ringelé and Nico Sall . Joined by Christophe Piette in 2015.H E C T O L I T E R is a non-profit organisation.",project space contemporary art based brussels belgium founded 2009 tine ringelé nico sall joined christophe piette 2015 non profit organisation,20,22,0.0906336440268007
Artists Club Coffre-Fort,"In March 2012, Thibaut Espiau, Ištvan Išt Huzjan and Grégoire Motte established the Artists Club, a group of artists whose primary activity is spending time together and discussion but not developing an art practice as a collective. A few months later, they discovered a huge Fichet Bauche brand vault on the mezzanine floor of the building where they had their studios. This steel cube of several tones was to mark the start of a palpable artistic collaboration between members of the club as well as the opening of an exhibition space. Both activities are closely intertwined....First worksThe renovation of the vault and the surrounding room gave rise to the frst works by the trio of artists. These were mostly objects documenting the way the space was used (First foor cloth (pink and pierced)) or things they fnd in the rubble (A little gold) or the use of the volume of rooms as a camera obscura to observe the street upside down. The Vault The box is a cube of 230 x 280 x 230 cm. The interior space measures 200 x 250 x 200 cm. It is placed in the middle of a room of thirty square meters on the mezzanine of a former jeweler’s place located on 63 Rue du Houblon in the centre of Brussels. From the street, two windows give a view looking down onto the vault and a third window serves as a showcase for graphic proposals. On December 20th, 2012, the Vault was un<0x02>veiled to the public as a work by the Artists Club as well as a new exhibition space. It was empty and simply furnished with a white carpet. What followed was a party. The Carpet The dirty white carpet was removed and kept as another trace of evolution of the Artists Club’s Vault: a trace from the frst meeting between the Vault and it’s public. Since then, for each exhibition, the Artists Club changes the carpet in the Vault, and keeps it as a sou<0x02>venir of the collaboration with the guest artist. Invited by the Brussels based fair ‘Brussels Cologne Contemporaries’ The Artists Club presented their collection of eleven carpets in January 2014 in Cologne. Exhibitions The frequency and duration of the exhibitions is very irregular (one night only sometimes) because the goal is not to “make exhibitions” but to try to invite artists who belong to Artists Club personal art history and to make it public. With very limited fnancial resour<0x02>ces, Artists Club often has to wait, like a trapdoor spider, for artists to be close to Brussels in order to work with them in the Vault. We claim periods of inactivity as well as the furtive nature of certain exhibitions because we think it is more natural than a continuous stream of proposals. We are artists and we run the place as such. The exhibitions at the Vault are the result of discussions between artists (who integrate the Club for the duration of the exhibition) and us. So in some respects, these exhibitions are actually collaborations. We produce with each artist an edition that accompanies the exhibition. These editions are small booklets, posters, sound works on USB keys, etc.",march 2012 thibaut espiau ištvan išt huzjan grégoire motte established artists club group artists primary activity spending discussion developing art practice collective months later discovered huge fichet bauche brand vault mezzanine floor building studios steel cube tones mark start palpable artistic collaboration members club opening exhibition space activities closely intertwined worksthe renovation vault surrounding room gave rise frst works trio artists objects documenting way space used foor cloth pink pierced things fnd rubble little gold use volume rooms camera obscura observe street upside vault box cube interior space measures placed middle room thirty square meters mezzanine jeweler rue houblon centre brussels street windows view looking vault window serves showcase graphic proposals december 20th 2012 vault 0x02 veiled public work artists club exhibition space simply furnished carpet followed party carpet dirty carpet removed kept trace evolution artists club vault trace frst meeting vault public exhibition artists club changes carpet vault keeps sou 0x02 venir collaboration guest artist invited brussels based fair brussels cologne contemporaries artists club presented collection carpets january 2014 cologne exhibitions frequency duration exhibitions irregular night goal make exhibitions try invite artists belong artists club personal art history make public limited fnancial resour 0x02 artists club wait like trapdoor spider artists close brussels order work vault claim periods inactivity furtive nature exhibitions think natural continuous stream proposals artists exhibitions vault result discussions artists integrate club duration exhibition respects exhibitions actually collaborations produce artist edition accompanies exhibition editions booklets posters sound works usb keys,244,5,0.01824509883494091
/ 77,"All of the activities that we will develop and organize will have no budget and no lucrative aims: this will not be a limit but it will turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration. Tell us who you are, introduce your project or just step by to have a look. -English below- /77 a été fondé à Milan en 2015 par Alessandro Moroni et Giulia Ratti. Jusqu'en 2017 en collectif avec Nicole Colombo et Luca Loreti. Le but du collectif est de créer des partenariats et des projets qui impliquent des jeunes artistes, sans grande expérience de l' exposition. L'intérêt principal est de stimuler un débat collectif sur le travail et la recherche d'artistes individuels aussi et surtout à l'extérieur champ d'exposition. / 77 vise à être le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de leur travail.L'intérêt principal du collectif est l'expérimentation et la recherche. L'espace physique est un lieu où les travaux sont au pouvoir, un laboratoire où les idées sont en cours d'élaboration. Avec notre travail, nous créons un réseau entre les artistes, les œuvres et les institutions maintiennent toujours vivant le débat sur l'art contemporain et de l'actualité. Notre pratique est de comprendre et de répondre aux besoins des jeunes artistes en leur offrant la possibilité de développer des projets qui leur permettront d'approfondir leur recherche. -- /77 was founded in Milan in 2015 by Alessandro Moroni and Giulia Ratti. Up to 2017 it has been run together with Nicole Colombo and Luca Loreti./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition.We chose to work with young artists exclusively because we are interested inexperimentation and research in its embryonic stage. The frame of the studio as an art space in which the artwork is not fully concluded yet or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.",activities develop organize budget lucrative aims limit turn advantage goal creating environment unselfish sharing collaboration tell introduce project just step look english été fondé milan 2015 alessandro moroni giulia ratti jusqu 2017 collectif avec nicole colombo luca loreti collectif créer partenariats projets qui impliquent jeunes artistes sans grande expérience exposition intérêt principal stimuler débat collectif travail recherche artistes individuels aussi surtout extérieur champ exposition vise meilleur environnement possible afficher document conception rencontrer discuter leur travail intérêt principal collectif expérimentation recherche espace physique lieu travaux pouvoir laboratoire idées cours élaboration avec notre travail nous créons réseau entre artistes œuvres institutions maintiennent toujours vivant débat art contemporain actualité notre pratique comprendre répondre aux besoins jeunes artistes leur offrant possibilité développer projets qui leur permettront approfondir leur recherche founded milan 2015 alessandro moroni giulia ratti 2017 nicole colombo luca loreti artist studio collaborations external projects involving young artists art students work exhibited main focus creating collective debate work research artist alongside context exhibition artist studio collaborations external projects involving young artists art students work exhibited main focus creating collective debate work research artist alongside context exhibition chose work young artists exclusively interested inexperimentation research embryonic stage frame studio art space artwork fully concluded laboratory ideas developing perfectly represents guideline proposes showing documenting designing discussing work having chance talking aim creating network young artists artworks keeping alive debate contemporary art current issues,228,0,1.0
Island,"Island is a non profit art space, opened in 2012 by Belgian artists Sébastien Bonin and Brice Guilbert. Since its opening, Island’s aim has been to promote artists and their work through exhibitions, conferences, screenings, etc. Mainly focusing on the belgian scene, Island has been presenting emerging artists.Island also collaborates with established artists to encourage the transmission of skillsand experience/best practice. Island is a place for sharing and creating contemporary propositions.It is also a space where artists are allowed to experiment, not constrained by a curatorial lead.This allows for a multitude of propositions to emerge, often antithetical and opposite. Therefore, every exhibition is unique, conceived according to its own criteria without referencing previous projects.",non profit art space opened 2012 belgian artists sébastien bonin brice guilbert opening aim promote artists work exhibitions conferences screenings mainly focusing belgian scene presenting emerging artists collaborates established artists encourage transmission skillsand experience best practice sharing creating contemporary propositions space artists allowed experiment constrained curatorial lead allows multitude propositions emerge antithetical opposite exhibition unique conceived according criteria referencing previous projects,61,-1,0.0022230141576841827
Immanence,"Immantique is a place of exhibition, diffusion, production, experimentation in favour of contemporary creation, resulting in various fields of contemporary art. Immanence is a very primitive place for contemporary artists. Immanence promotes the diversity and diversity of the media (painting, video, digital art, dance, performance, installations, design, architecture...) offering to the public a wide range of proposals and creation. Immanence is a space of contemporary art in the service of contemporary artists. Immanence is also associated with the diversity and diversity of contemporary artists. The 21st Avenue of Maine is one of the high places of artistic creation in Paris. Today it is preserved from the real estate speculation, and property of the city of Paris, it is a monumental place, one of the islands of Montparnasse's artistic life, composed of a set of workshops built from the beginning of the century into a small fortress where buildings in brick and glass are buried under the vineyard. Named by its occupations, alley, impregnated or street, the 21st Avenue of Maine was sometimes the chassis of the Maine. Property in 1861 of the Goufier and Bauban women, it was a line of post where the 19th century was changed to the King's. Immania was created in 1998 at a time when many artists appeared. These exhibition sites were also a response to a particular situation. The context of the period is: The financial crisis in France will see the expansion of the market of art, starting in the first years of this century. The artists are no longer able to expose themselves in the galleries after the others. They will create their own structures of art. They are more complex and the financial crisis is not only false, they are added to the generation crisis in the world of art. There are times when the artistic work of an artist is related to one or more exhibitions. Sometimes the artistic practice is removed from the curator's practice. Whatever is, this dual practice of a curator is said to be completely occupied and lived. In the fundamental artists of the place, the artistic activity is parallel to the management of an exhibition. These artists show an alternative mode of operation of a line. An exhibition, organized by an artist-run, perhaps a model of design.",ART_ORG exhibition diffusion production experimentation favour contemporary creation resulting various fields contemporary art immanence primitive contemporary artists immanence promotes diversity diversity media painting video digital art dance performance installations design architecture offering public wide range proposals creation immanence space contemporary art service contemporary artists immanence associated diversity diversity contemporary artists 21st avenue maine high places artistic creation CITY today preserved real estate speculation property city CITY monumental islands montparnasse artistic life composed set workshops built beginning century fortress buildings brick glass buried vineyard named occupations alley impregnated street 21st avenue maine chassis maine property 1861 goufier bauban women line post 19th century changed king immania created 1998 artists appeared exhibition sites response particular situation context period financial crisis france expansion market art starting years century artists longer able expose galleries create structures art complex financial crisis false added generation crisis world art times artistic work artist related exhibitions artistic practice removed curator practice dual practice curator said completely occupied lived fundamental artists artistic activity parallel management exhibition artists alternative mode operation line exhibition organized artist model design,177,26,1.0
Irmavep Club,"Irmavep Club is a collection of artists and commissions who are directly involved in the IrmaVepLab project from 2004 to 2010, in Châtillon-sur-Marne (the initiative gets the status of art centre in 2006). For its installation in Paris, the collective has chosen to work fully as a run-up artist, while still traveling, and to respond to invitations from different places, whether private or institutional.In the form of a club, it is to create links and generate critical conversations between artists, professionals and exhibition commissions, as well as to discover a wide range of works that remain in Paris. IrmaVepLab's association was born in 2003 in Châtillon-sur-Marne in the ancient home of the artist Musidora. This feminist started his career in the Bergeres before the ""Irma Vep"" heroin of Louis Feuillade's film ""The Vampires"" in 1915.Musidora received in his home many artists from the Surrealist movement, many actors and filmmakers from the 20th century. This house was then a collection of art and converging.In 2003, a collection of artists and professionals recognized as the foundation of the ""IrmaVepLab'atures"", which had been built by the artist's house.",ART_ORG club collection artists commissions directly involved irmaveplab project 2004 2010 CITY marne initiative gets status art centre 2006 installation CITY collective chosen work fully artist traveling respond invitations different places private institutional form club create links generate critical conversations artists professionals exhibition commissions discover wide range works remain CITY irmaveplab association born 2003 CITY marne ancient home artist musidora feminist started career bergeres irma vep heroin louis feuillade film vampires 1915 musidora received home artists surrealist movement actors filmmakers 20th century house collection art converging 2003 collection artists professionals recognized foundation irmaveplab atures built artist house,97,27,1.0
BLINDSIDE,"BLINDSIDE is an independent contemporary arts space located in the heart of Melbourne established in 2004. We are committed to supporting and promoting contemporary art practice across a broad range of media through an ever-changing program of exhibitions, screenings, events and workshops. BLINDSIDE supports a thriving arts community in Melbourne and beyond—encouraging artistic experimentation, innovation and facilitating critical dialogue.Blindside is a founding and current member of All Conference – a national organising network comprised of 17 artist-led, experimental and cross-disciplinary arts organisations. Pivotal to Blindside’s success has been our location in one of Melbourne’s iconic creative spaces – the Nicholas Building. In 2004 Renai Grace, Pip Haydon, Simon Koger and Christine Morrow founded Blindside with the objective to make space for local and interstate artists, writers and curators to engage in critical dialogue and creative exchange. Since then, Blindside has consistently expanded with new initiatives, projects and collaborations, to shape the professional development of many artists, writers and curators locally, nationally and internationally. The annual proposal-based program and Blindside-led project series offer artists, writers and curators vital support and opportunity at critical junctures in their creative and professional practices. Our community is diverse and always growing. The annual program delivers a diverse offering of online and in-gallery exhibitions, events, performances, public programs, education and professional development programs, and mentorships to broad audiences. Blindside’s growth and artistic direction has been shaped by the collective enthusiasm and expertise of voluntary Artistic Directors, Board, Associate and Advisory members. Longstanding annual platforms and more recent Blindside initiatives include Debut (since 2005); The B-SIDE / Curtain Call (2007-2016); Screen Series (since 2010); Sound Series (since 2009); Summer Studio (since 2011); Showstoppers/ Blindside Live (2011-2015); Blindside Festival (2012, 2014, 2016); PLAY + PLAY II (2014-2017); (Emerging Curator Mentorship (since 2017); Regional Art + Research Residency (since 2017); First Nations Project (since 2018); Satellite (since 2018); and Mobile (since 2021).Continued support enables Blindside to offer exhibition space free of charge, extending Blindside’s support to creative practitioners and consolidating our position as an artistic and educational hub.",blindside independent contemporary arts space heart melbourne established 2004 committed supporting promoting contemporary art practice broad range media changing program exhibitions screenings events workshops blindside supports thriving arts community melbourne encouraging artistic experimentation innovation facilitating critical dialogue blindside founding current member conference national organising network comprised artist led experimental cross disciplinary arts organisations pivotal blindside success location melbourne iconic creative spaces nicholas building 2004 renai grace pip haydon simon koger christine morrow founded blindside objective make space local interstate artists writers curators engage critical dialogue creative exchange blindside consistently expanded initiatives projects collaborations shape professional development artists writers curators locally nationally internationally annual proposal based program blindside led project series offer artists writers curators vital support opportunity critical junctures creative professional practices community diverse growing annual program delivers diverse offering online gallery exhibitions events performances public programs education professional development programs mentorships broad audiences blindside growth artistic direction shaped collective enthusiasm expertise voluntary artistic directors board associate advisory members longstanding annual platforms recent blindside initiatives include debut 2005 curtain 2007 2016 screen series 2010 sound series 2009 summer studio 2011 showstoppers blindside live 2011 2015 blindside festival 2012 2014 2016 play play 2014 2017 emerging curator mentorship 2017 regional art research residency 2017 nations project 2018 satellite 2018 mobile 2021 continued support enables blindside offer exhibition space free charge extending blindside support creative practitioners consolidating position artistic educational hub,229,0,0.04147655271755338
KINGS Artist Run,"Kings Artist Run is a non-for-profit gallery in Melbourne’s CBD Kings Artist Run provides a location for contemporary art practice, supporting distinctive experimental projects by artists at all stages of their careers. Kings ARI assists and promotes the development of solo exhibitions, group and thematic projects, along with a program of events that includes performance, film screenings, public gatherings and talks. Functioning as a collective of artists, writers, curators and academics, Kings Artist Run was formed to explore, interpret and participate in the mediation of new social and cultural meanings. In 2013 Kings Artist Run celebrated its 10th anniversary.",kings artist non profit gallery melbourne cbd kings artist provides location contemporary art practice supporting distinctive experimental projects artists stages careers kings ari assists promotes development solo exhibitions group thematic projects program events includes performance film screenings public gatherings talks functioning collective artists writers curators academics kings artist formed explore interpret participate mediation social cultural meanings 2013 kings artist celebrated 10th anniversary,62,0,0.05364584818867695
Quellkollektiv,"The Association Quellcollectiv emerges from the association of several residents in a building that connects cultural operators collectively through the metropolitan region of Nuremberg. The association operates the gallery ""Today:_"" and supports ""We buy the source"". Our members are creative and performers artists, designers, artists, architects, musicians, activists, authors, organizers, editors and others who create culture professionally or in their free time.",association ART_ORG emerges association residents building connects cultural operators collectively metropolitan region CITY association operates gallery today supports buy source members creative performers artists designers artists architects musicians activists authors organizers editors create culture professionally free,36,0,0.05037638802635753
