id;nom;date_ouverture;date_fermeture;website;email;adresse;horaires;presentation;responsables;historique;activites;expositions;publications;events;residences;workshop;archive;librairie;coworking;education;nb_expos_an;nb_artistes_an;partenaires;created_at;updated_at;slug;pays;ville;latitude;longitude;adresse_complete;codepostal;telephone;visite;user_id;question1;réponse1;question2;réponse2
71;La loge;2012.0;;www.la-loge.be;info@la-loge.be;Kluisstraat - rue de l’Ermitage 86;;;;;;;;;;;;;;;;;;2014-04-09T07:01:36.227Z;2014-04-09T07:01:36.227Z;la-loge;Belgique;Bruxelles;50.82846;4.3656465;Kluisstraat - rue de l’Ermitage 86, 1050, Bruxelles, Belgique;1050.0;;;;;;;
164;W;2010.0;;www.w-pantin.xyz;wladresse@gmail.com;6 avenue Weber;Sur le temps des expositions;W s’est installé dans la banlieue Est de Paris, à Pantin en février 2010. L’espace possède deux potentiels bien différents: le premier niveau est un espace d’accrochage, le second un espace de travail. W vise la qualité des expressions et des rencontres. Nous avons créé un outil permettant de prendre des risques, un espace d'expérimentation indépendant. Des neuf artistes qui composent W, chacun construit une pratique singulière, et chacune de ces pratiques réclame impérieusement son siège. Le projet est vivant parce qu'il fait travailler ensemble des méthodes et des modèles différents. Les membres ne se font pas la même idée de ce qu'est leur association et c'est leurs initiatives mises en commun qui lui donne forme. Ces ambitions sont le creuset de la conception d’expositions soutenant des questions précises élaborées au fil des discussions du groupe incluant aussi des personnalités extérieures, critiques d’art, théoriciens, amis.;Ana Braga, Fanny Châlot, Vincent Deniel, Judith Espinas, Émeline Jaret, Céline Notheaux, Laure Wauters;MEMBRES FONDATEURS DE W (2010) / W FOUNDERS (2010)Sylvain AzamFanny ChâlotJudith EspinasSophie LammYannick LangloisSami TrabelsiSimon ZagariGiuliana Zefferi;;True;False;True;False;True;False;False;True;False;;;;2016-01-27T08:54:57.652Z;2025-03-06T07:43:17.087Z;w;France;Pantin;48.9040979;2.3957386;6 avenue Weber, 93500, Pantin, France;93500.0;;;1.0;;;;
81;HEKLA;2013.0;2017.0;www.facebook.com/heklagalerie;heklastudio@gmail.com;50 Joseph Claes;;;;;;False;False;False;False;False;False;False;False;False;;;;2014-04-09T07:01:37.514Z;2025-04-04T22:36:56.592Z;hekla;Belgique;Bruxelles;50.8329074;4.3381126;50 Joseph Claes, 1060, Bruxelles, Belgique;1060.0;;;1.0;;;;
79;Rosa Brux;2012.0;;www.rosabrux.org;contact@rosabrux.org;RUE DE L'AUTONOMIE 9;;;;;;;;;;;;;;;;;;2014-04-09T07:01:37.312Z;2014-04-09T07:01:37.312Z;rosa-brux;Belgique;Bruxelles;50.8404007;4.3378064;RUE DE L'AUTONOMIE 9, 1070, Bruxelles, Belgique;1070.0;;;;;;;
83;Greylight Projects;2009.0;;greylightprojects.org;office@greylightprojects.org;Rue Brialmont 11;;;;;;True;False;True;True;False;False;False;False;False;;;;2014-04-09T07:01:37.723Z;2014-06-09T08:35:10.878Z;greylight-projects;Belgique;Bruxelles;50.8536207;4.3673498;Rue Brialmont 11, 1210, Bruxelles, Belgique;1210.0;;;3.0;;;;
82;HECTOLITER;2009.0;2016.0;www.hectoliter.be;info@hectoliter.be;place du samedi 17;;H E C T O L I T E R is a project space for contemporary art based in Brussels, Belgium.Founded in 2009 by Tine Ringelé and Nico Sall . Joined by Christophe Piette in 2015.H E C T O L I T E R is a non-profit organisation.;Tine Ringelé and Nico Sall. Christophe Piette in 2015;;;False;False;False;False;False;False;False;False;False;;;;2014-04-09T07:01:37.604Z;2025-04-04T22:59:43.176Z;hectoliter;Belgique;Bruxelles;50.85151560000001;4.350256;place du samedi 17, 1000, Bruxelles, Belgique;1000.0;;;1.0;;;;
76;Artists Club Coffre-Fort;2013.0;;www.instagram.com/artistsclubcoffrefort;;Hopstraat 63;;In March 2012, Thibaut Espiau, Ištvan Išt Huzjan and Grégoire Motte established the Artists Club, a group of artists whose primary activity is spending time together and discussion but not developing an art practice as a collective. A few months later, they discovered a huge Fichet Bauche brand vault on the mezzanine floor of the building where they had their studios. This steel cube of several tones was to mark the start of a palpable artistic collaboration between members of the club as well as the opening of an exhibition space. Both activities are closely intertwined....First worksThe renovation of the vault and the surrounding room gave rise to the frst works by the trio of artists. These were mostly objects documenting the way the space was used (First foor cloth (pink and pierced)) or things they fnd in the rubble (A little gold) or the use of the volume of rooms as a camera obscura to observe the street upside down. The Vault The box is a cube of 230 x 280 x 230 cm. The interior space measures 200 x 250 x 200 cm. It is placed in the middle of a room of thirty square meters on the mezzanine of a former jeweler’s place located on 63 Rue du Houblon in the centre of Brussels. From the street, two windows give a view looking down onto the vault and a third window serves as a showcase for graphic proposals. On December 20th, 2012, the Vault was unveiled to the public as a work by the Artists Club as well as a new exhibition space. It was empty and simply furnished with a white carpet. What followed was a party. The Carpet The dirty white carpet was removed and kept as another trace of evolution of the Artists Club’s Vault: a trace from the frst meeting between the Vault and it’s public. Since then, for each exhibition, the Artists Club changes the carpet in the Vault, and keeps it as a souvenir of the collaboration with the guest artist. Invited by the Brussels based fair ‘Brussels Cologne Contemporaries’ The Artists Club presented their collection of eleven carpets in January 2014 in Cologne. Exhibitions The frequency and duration of the exhibitions is very irregular (one night only sometimes) because the goal is not to “make exhibitions” but to try to invite artists who belong to Artists Club personal art history and to make it public. With very limited fnancial resources, Artists Club often has to wait, like a trapdoor spider, for artists to be close to Brussels in order to work with them in the Vault. We claim periods of inactivity as well as the furtive nature of certain exhibitions because we think it is more natural than a continuous stream of proposals. We are artists and we run the place as such. The exhibitions at the Vault are the result of discussions between artists (who integrate the Club for the duration of the exhibition) and us. So in some respects, these exhibitions are actually collaborations. We produce with each artist an edition that accompanies the exhibition. These editions are small booklets, posters, sound works on USB keys, etc.;Thibaut Espiau, Ištvan Išt Huzjan and Grégoire Motte;;;True;False;True;False;False;False;False;False;False;;;;2014-04-09T07:01:36.821Z;2025-04-04T23:41:39.888Z;artists-club-coffre-fort;Belgique;Bruxelles;50.851304;4.3410815;Hopstraat 63, 1000, Bruxelles, Belgique;1000.0;;;1.0;;;;
198;/ 77;2015.0;;progetto77.tumblr.com;progettosettantasette@gmail.com;Via Plinio 43;On appointment;"-English below- /77 a été fondé à Milan en 2015 par Alessandro Moroni et Giulia Ratti. Jusqu'en 2017 en collectif avec Nicole Colombo et Luca Loreti. Le but du collectif est de créer des partenariats et des projets qui impliquent des jeunes artistes, sans grande expérience de l' exposition. L'intérêt principal est de stimuler un débat collectif sur le travail et la recherche d'artistes individuels aussi et surtout à l'extérieur champ d'exposition. / 77 vise à être le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de leur travail.L'intérêt principal du collectif est l'expérimentation et la recherche. L'espace physique est un lieu où les travaux sont au pouvoir, un laboratoire où les idées sont en cours d'élaboration. Avec notre travail, nous créons un réseau entre les artistes, les œuvres et les institutions maintiennent toujours vivant le débat sur l'art contemporain et de l'actualité. Notre pratique est de comprendre et de répondre aux besoins des jeunes artistes en leur offrant la possibilité de développer des projets qui leur permettront d'approfondir leur recherche.
--
/77 was founded in Milan in 2015 by Alessandro Moroni and Giulia Ratti. Up to 2017 it has been run together with Nicole Colombo and Luca Loreti./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition.We chose to work with young artists exclusively because we are interested inexperimentation and research in its embryonic stage. The frame of the studio as an art space in which the artwork is not fully concluded yet or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.";Giulia Ratti, Alessandro Moroni.;;"All of the activities that we will  develop and organize will have no budget and no lucrative aims: this will not be a limit but it will  turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration.
Tell us who you are, introduce your project or just step by to have a look.";True;False;True;True;True;False;False;True;False;;;;2016-10-05T08:13:18.252Z;2025-03-01T21:09:28.884Z;77;Italy;Milano;45.4766129;9.2180952;Via Plinio 43, , Milano, Italy;;;;1.0;;;;
77;Island;2012.0;;www.islandisland.be;info@islandisland.be;155 chaussée de Wavre;;Island is a non profit art space, opened in 2012 by Belgian artists Sébastien Bonin and Brice Guilbert. Since its opening, Island’s aim has been to promote artists and their work through exhibitions, conferences, screenings, etc. Mainly focusing on the belgian scene, Island has been presenting emerging artists.Island also collaborates with established artists to encourage the transmission of skillsand experience/best practice. Island is a place for sharing and creating contemporary propositions.It is also a space where artists are allowed to experiment, not constrained by a curatorial lead.This allows for a multitude of propositions to emerge, often antithetical and opposite. Therefore, every exhibition is unique, conceived according to its own criteria without referencing previous projects.;Sébastien Bonin and Brice Guilbert;;;True;False;True;False;False;False;False;False;False;;;;2014-04-09T07:01:36.943Z;2025-04-04T23:52:18.551Z;island;Belgique;Bruxelles;50.8355038;4.3701134;155 chaussée de Wavre, 1050, Bruxelles, Belgique;1050.0;;;1.0;;;;
5;Immanence;2000.0;;www.art-immanence.org;newimmanence@gmail.com;21 avenue du Maine;"Du jeudi au samedi
de 14h à 18h et sur rendez-vous";"Immanence est un lieu d'exposition, de diffusion, de production, d'expérimentation en faveur de la création contemporaine, rendant compte des divers champs artistiques actuels.
Immanence est un lieu tremplin pour les artistes contemporains.
Immanence favorise la multiplicité et la diversité des mediums (peinture, vidéo, art numérique, musique, danse, performances, installations, design, architecture...) offrant aux publics un large éventail de propositions et de création.
Immanence est un espace d'art contemporain au service des publics facilitant ainsi l'accès au plus grand nombre à la création contemporaine.
Immanence met en relation aussi bien le public amateur que professionnel avec la recherche artistique contemporaine.
Immanence propose des évènements dans et hors les murs en développant des liens avec des structures connexes en France et à l'étranger pour construire des projets communs.
Immanence propose des collaborations ponctuelles à de jeunes commissaires d'exposition afin d'ouvrir le projet à différentes perspectives.
Centre de documentation et de recherche d'ImmanenceArchive Station est constitué d'un ensemble de 5 000 pièces. Ce projet s'articule autour de collections exceptionnelles de livres d'artistes, de documents originaux, manuscrits, correspondances, multiples d'artistes ainsi qu'un ensemble de photographies, affiches, tracts, prospectus, périodiques, maquettes de livres, collages, fonds privés d'artistes, disques vinyle, bandes magnétiques, cassettes et documents divers.";Frederic Vincent et Cannelle Tanc;"Le 21 avenue du Maine est un des hauts lieux méconnu de la création artistique à Paris.
Aujourd’hui préservé de la spéculation immobilière, et propriété de la ville de Paris, il est un lieu de mémoire, un des îlots témoins de la vie artistique de Montparnasse, composé d’un ensemble d’ateliers implantés depuis le début du siècle dans une petite impasse dont les bâtiments en brique et verre sont enfouis sous la vigne vierge.
Nommé par ses occupants, l’allée, l’impasse ou le chemin, le 21 avenue du Maine était autrefois le 3 chaussée du Maine. Propriété en 1861 de messieurs Goufier et Bauban, c’était un relais de poste où l’on changeait l’attelage des chevaux.Le 19 janvier 1869, Jean-Adolphe Roux, avocat achète l’ensemble des bâtiments, il les modernise. À partir de 1900 jusqu’à nos jours se succèderont à cette adresse, de nombreux artistes, artisans, imprimeurs.
Malgré les guerres, les projets immobiliers et les vicissitudes de la vie, le 21 avenue du Maine est toujours présent dans le paysage culturel parisien. Il a traversé le XXème siècle en vivant debout tous les bouleversements artistiques. Témoin du mélange des genres, ce lieu a vu émerger et se développer les avant-gardes du début du siècle, l’École de Paris, la poésie sonore et l’art contemporain. Grâce à ses occupants, artistes, architectes, comédiens, graphistes, cinéastes, décorateurs, le 21 avenue du Maine est tournée vers l’avenir, celui d’un intérêt pour l’art, l’écologie, l’égalité de genre, la promotion de la nouvelle scène artistique. Au-delà de sa longévité, le 21 symbolise à lui seul l’avenir d’une ville, c’est-à-dire, l’accueil et le partage.
Cannelle Tanc et Frédéric Vincent ont écrit une petite histoire du 21 avenue du Maine à l’occasion des journées du patrimoine 2022, une petite brochure éditée par la Semaest est téléchargeable ici gratuitement en recopiant le lien ci-dessous.
https://hal.science/hal-04261175/document";;True;True;True;True;False;True;False;False;False;;;;2013-11-08T15:51:40.601Z;2025-03-02T09:00:55.460Z;immanence;France;Paris;48.8433602;2.3208126;21 avenue du Maine, 75015, Paris, France;75015.0;;;1.0;Q1 : Pouvez-vous nous apporter un témoignage sur la façon dont votre structure répond, à travers ses modalités de fonctionnement, au contexte actuel et/ou celui de son émergence ?;Immanence a été créé en 1998 à une époque où de nombreux artist run space sont apparu. Si ces lieux d’exposition ont émergé dans les années 1990 c’était aussi une réponse à une situation bien particulière. Le contexte de l’époque est le suivant : La crise financière en France va voir l’éclatement de la bulle spéculative du marché de l’art, s’effondrant dans les premières années de cette décennie. Les artistes ne trouvent plus opportun d’exposer dans les galeries fermant les unes après les autres. Ils vont créer leurs propres structures de monstration. Le contexte français est plus complexe et la crise financière n’est pas seulement fautive, s’ajoute à cela une crise générationnelle au sein même du monde de l’art en France. Une nouvelle génération de critiques n’ayant pas accès aux revues dominantes de l’époque (Artpress ou Beaux-arts magazine), vont créer eux-mêmes leurs propres organes de presse, leurs propres revues et magazines. Ils vont entrainer avec eux une génération d’artistes aussi divers et variés que le sont ces critiques. Vont ainsi naitre une pléiades de revues et de magazines tels que : Purple prose (1992) d’Elein Fleiss et Olivier Zahm, Blocnotes (1992-1998), documents sur l’art (1992) de Nicolas Bourriaud, Eric Troncy, Philippe Parreno et Liam Gillick., perpendiculaire (1995) de Nicolas Bourriaud, Jean-Yves Jouannais et Christophe Duchatelet, Parpaings (1999) de Christophe le Gac, Particules (2003-2010) de Stéphane Corréard, Le journal des expositions (1992-2000) et Post de Camille Saint-Jacques Verso Arts et Lettres (1996) de Jean-Luc Chalumeau.  Les années 1990 sont les années du changement radical dans l’attitude des artistes. La création d’un lieu alternatif, un acte plutôt marginal, va devenir plus fréquent, jusqu'à peut-être devenir la norme. Les jeunes artistes des années 1990 vont s’organiser, se regrouper en réseau, mettant de côté le plan de carrière habituel consistant à exposer dans une galerie commerciale, dans l’espoir d’intégrer le marché de l’art. Ils vont remettre à plus tard leur ambition de carrière institutionnelle.  Ce qui passe pour être alternatif à l’époque ce sont les lieux intermédiaires. Pour l’institution, les artist-run space ne sont pas encore repérés, ne faisant pas encore partie du paysage artistique pourtant, ils vont s’imposer dans ce paysage. Ces lieux et espaces alternatifs vont apparaître, pousser, se développer les uns après les autres. Nous pouvons distinguer différents types de créations d’espaces et d’initiatives, les appartements, les lieux d’expositions, les collectifs d’artistes et/ou de critiques et les ateliers de production. Les artistes français vont créer un nouveau canon artistique, un nouveau stéréotype, le lieu alternatif, l’artist-run space se propageant jusque chez les collectionneurs et les galeristes. Aujourd’hui, le contexte est différent, de nombreux artistes ouvrent des lieux non plus de manière désintéressée mais afin de se faire repérer. Un autre intermédiaire est apparu depuis les années 1990, le curateur. Ce dernier prend normalement soin d’organiser des expositions mais aujourd’hui, il prend surtout soin de lui-même. Ainsi il n’est pas rare de recevoir des newsletters de curateurs annonçant leurs prochaines expositions comme le ferai un artiste, certains ont même un site internet.  Les artist run space en France sont encore marginaux, certes ils sont repérés par les institutions mais n’obtiennent que de faibles financements publics. Souvent ces artistes sont bénévoles, aucuns partenaires publics ne souhaitent aborder la question des salaires et pourtant ces lieux contribuent à la démocratisation de l’accès à la culture, ils rendent accessible à toutes et à toutes les richesses de la création actuelle et permettent de lutter contre les inégalités, les discriminations, l’arbitraire et le communautarisme. Pour le moment, il n’y a aucun effort fait de la part des gouvernements de droite ou de gauche pour financer de manière pérenne des emplois dans les structures indépendantes, un combat de plus à mener à l’avenir.;Question 2 : Pensez-vous que votre espace ou l'espace auquel vous avez participé puisse être considéré comme une œuvre ? Et si oui, en quel sens ?;"Parfois il peut arriver que le travail artistique d’un artiste-curateur soit en relation étroite avec une ou plusieurs expositions organisées. Parfois la pratique artistique est éloignée de la pratique curatoriale.
Quoiqu’il en soit, cette double pratique d’artiste-curateur s’affirme comme pleinement assumée et vivace. Chez les artistes-curateurs fondateurs de lieux, l’activité artistique vit en parallèle à la gestion d’un lieu d’exposition. Ces artistes-curateurs énoncent un mode de fonctionnement alternatif à un modèle linéaire. Une exposition, organisée par un artiste ou à l’initiative d’un artist-run spaces, peut-être un modèle de production et de conception. Les lieux indépendants permettent dès lors, à de nombreux artistes de poser les bases de leurs réflexions. L’artiste-curateur propose un modèle transversal, liant ses compétences historiques, philosophiques à ses expériences artistiques, allant de la conception à la réalisation. Quelle raison mène des artistes à vouloir montrer d’autres artistes ? Souvent, il s’agit de faire écho, de proposer au public un regard différent nourri d’expériences, de rencontres, d’envies. La ligne directrice des artistes-curateurs est une courbe, souvent insaisissable. Le défi est la réussite de la couverture d’un spectre très large, d’un champ hétérogène tout en restant attentifs et inventifs. Pour eux, l’exposition se présente comme un désert à peupler. La double activité se nourrit d’expositions vues mais aussi organisées, faisant avancer rapidement les artistes-curateurs.
 
Organiser des expositions dans un même lieu requiert une approche différente, demandant une remise en question permanente de l’idée même de curateur. C’est en organisant une série d’expositions que l’on devient curateur. La fonction théorique et heuristique des artistes-curateurs, leurs capacités à déterritorialiser les champs du savoir, ont tendance à faire éclater toute typologie mise en place.
Frédéric Vincent, artiste-curateur, docteur en Arts et Sciences de l’Art Directeur artistique de Immanence, Paris www.art-immanence.org 
"
