id,nom,date_ouverture,date_fermeture,website,email,adresse,horaires,presentation,responsables,historique,activites,expositions,publications,events,residences,workshop,archive,librairie,coworking,education,nb_expos_an,nb_artistes_an,partenaires,created_at,updated_at,slug,pays,ville,latitude,longitude,adresse_complete,codepostal,telephone,visite,user_id
71,"La loge",2012,,"www.la-loge.be","info@la-loge.be","Kluisstraat - rue de l’Ermitage 86",,,,,,,,,,,,,,,,,,"2014-04-09T07:01:36.227Z","2014-04-09T07:01:36.227Z","la-loge","Belgique","Bruxelles","50.82846","4.3656465","Kluisstraat - rue de l’Ermitage 86, 1050, Bruxelles, Belgique","1050",,,
164,"W",2010,,"www.w-pantin.xyz","wladresse@gmail.com","6 avenue Weber","Sur le temps des expositions","<p>W s&rsquo;est install&eacute; dans la banlieue Est de Paris, &agrave; Pantin en f&eacute;vrier 2010. L&rsquo;espace poss&egrave;de deux potentiels bien diff&eacute;rents: le premier niveau est un espace d&rsquo;accrochage, le second un espace de travail. W vise la qualit&eacute; des expressions et des rencontres. Nous avons cr&eacute;&eacute; un outil permettant de prendre des risques, un espace d'exp&eacute;rimentation ind&eacute;pendant. Des neuf artistes qui composent W, chacun construit une pratique singuli&egrave;re, et chacune de ces pratiques r&eacute;clame imp&eacute;rieusement son si&egrave;ge. Le projet est vivant parce qu'il fait travailler ensemble des m&eacute;thodes et des mod&egrave;les diff&eacute;rents. Les membres ne se font pas la m&ecirc;me id&eacute;e de ce qu'est leur association et c'est leurs initiatives mises en commun qui lui donne forme. Ces ambitions sont le creuset de la conception d&rsquo;expositions soutenant des questions pr&eacute;cises &eacute;labor&eacute;es au fil des discussions du groupe incluant aussi des personnalit&eacute;s ext&eacute;rieures, critiques d&rsquo;art, th&eacute;oriciens, amis.</p>","Ana Braga, Fanny Châlot, Vincent Deniel, Judith Espinas, Émeline Jaret, Céline Notheaux, Laure Wauters","<p>MEMBRES FONDATEURS DE W (2010) / W FOUNDERS (2010)<br /><a href=""https://sylvain-azam.com/"" target=""_blank"" rel=""noopener"">Sylvain Azam</a><br /><a href=""http://fannychalot.wixsite.com/memento"" target=""_blank"" rel=""noopener"">Fanny Ch&acirc;lot</a><br /><a href=""http://judithespinas.free.fr/"" target=""_blank"" rel=""noopener"">Judith Espinas</a><br /><a href=""https://www.w-pantin.xyz/"" target=""_self"">Sophie Lamm</a><br /><a href=""http://thankyouforcoming.net/yannick-langlois/"" target=""_blank"" rel=""noopener"">Yannick Langlois</a><br /><a href=""http://www.karimacelestin.com/sami-trabelsi/"" target=""_blank"" rel=""noopener"">Sami Trabelsi</a><br /><a href=""https://www.facebook.com/zagari.simon"" target=""_blank"" rel=""noopener"">Simon Zagari</a><br /><a href=""http://cargocollective.com/giuliana-zefferi"" target=""_blank"" rel=""noopener"">Giuliana Zefferi</a></p>","",true,false,true,false,true,false,false,true,false,"","","","2016-01-27T08:54:57.652Z","2025-03-06T07:43:17.087Z","w","France","Pantin","48.9040979","2.3957386","6 avenue Weber, 93500, Pantin, France","93500","","","1"
81,"HEKLA",2013,2017,"www.facebook.com/heklagalerie","heklastudio@gmail.com","50 Joseph Claes","","","","","",false,false,false,false,false,false,false,false,false,"","","","2014-04-09T07:01:37.514Z","2025-04-04T22:36:56.592Z","hekla","Belgique","Bruxelles","50.8329074","4.3381126","50 Joseph Claes, 1060, Bruxelles, Belgique","1060","","","1"
79,"Rosa Brux",2012,,"www.rosabrux.org","contact@rosabrux.org","RUE DE L'AUTONOMIE 9",,,,,,,,,,,,,,,,,,"2014-04-09T07:01:37.312Z","2014-04-09T07:01:37.312Z","rosa-brux","Belgique","Bruxelles","50.8404007","4.3378064","RUE DE L'AUTONOMIE 9, 1070, Bruxelles, Belgique","1070",,,
83,"Greylight Projects",2009,,"greylightprojects.org","office@greylightprojects.org","Rue Brialmont 11","","","","","",true,false,true,true,false,false,false,false,false,"","","","2014-04-09T07:01:37.723Z","2014-06-09T08:35:10.878Z","greylight-projects","Belgique","Bruxelles","50.8536207","4.3673498","Rue Brialmont 11, 1210, Bruxelles, Belgique","1210","","","3"
82,"HECTOLITER",2009,2016,"www.hectoliter.be","info@hectoliter.be","place du samedi 17","","<p>H E C T O L I T E R is a project space for contemporary art based in Brussels, Belgium.<br /><br />Founded in 2009 by Tine Ringel&eacute; and Nico Sall . Joined by Christophe Piette in 2015.<br /><br />H E C T O L I T E R is a non-profit organisation.</p>","Tine Ringelé and Nico Sall. Christophe Piette in 2015","","",false,false,false,false,false,false,false,false,false,"","","","2014-04-09T07:01:37.604Z","2025-04-04T22:59:43.176Z","hectoliter","Belgique","Bruxelles","50.85151560000001","4.350256","place du samedi 17, 1000, Bruxelles, Belgique","1000","","","1"
76,"Artists Club Coffre-Fort",2013,,"www.instagram.com/artistsclubcoffrefort","","Hopstraat 63","","<p>In March 2012, Thibaut Espiau, I&scaron;tvan I&scaron;t Huzjan and Gr&eacute;goire Motte established the Artists Club, a group of artists whose primary activity is spending time together and discussion but not developing an art practice as a collective. A few months later, they discovered a huge Fichet Bauche brand vault on the mezzanine floor of the building where they had their studios. This steel cube of several tones was to mark the start of a palpable artistic collaboration between members of the club as well as the opening of an exhibition space. Both activities are closely intertwined....<br /><br />First works<br />The renovation of the vault and the surrounding room gave rise to the frst works by the trio of artists. These were mostly objects documenting the way the space was used (First foor cloth (pink and pierced)) or things they fnd in the rubble (A little gold) or the use of the volume of rooms as a camera obscura to observe the street upside down. <br /><br />The Vault <br />The box is a cube of 230 x 280 x 230 cm. The interior space measures 200 x 250 x 200 cm. It is placed in the middle of a room of thirty square meters on the mezzanine of a former jeweler&rsquo;s place located on 63 Rue du Houblon in the centre of Brussels. From the street, two windows give a view looking down onto the vault and a third window serves as a showcase for graphic proposals. On December 20th, 2012, the Vault was unveiled to the public as a work by the Artists Club as well as a new exhibition space. It was empty and simply furnished with a white carpet. What followed was a party. <br /><br />The Carpet <br />The dirty white carpet was removed and kept as another trace of evolution of the Artists Club&rsquo;s Vault: a trace from the frst meeting between the Vault and it&rsquo;s public. Since then, for each exhibition, the Artists Club changes the carpet in the Vault, and keeps it as a souvenir of the collaboration with the guest artist. Invited by the Brussels based fair &lsquo;Brussels Cologne Contemporaries&rsquo; The Artists Club presented their collection of eleven carpets in January 2014 in Cologne. <br /><br />Exhibitions <br />The frequency and duration of the exhibitions is very irregular (one night only sometimes) because the goal is not to &ldquo;make exhibitions&rdquo; but to try to invite artists who belong to Artists Club personal art history and to make it public. With very limited fnancial resources, Artists Club often has to wait, like a trapdoor spider, for artists to be close to Brussels in order to work with them in the Vault. We claim periods of inactivity as well as the furtive nature of certain exhibitions because we think it is more natural than a continuous stream of proposals. We are artists and we run the place as such. The exhibitions at the Vault are the result of discussions between artists (who integrate the Club for the duration of the exhibition) and us. So in some respects, these exhibitions are actually collaborations. We produce with each artist an edition that accompanies the exhibition. These editions are small booklets, posters, sound works on USB keys, etc.&nbsp;</p>","Thibaut Espiau, Ištvan Išt Huzjan and Grégoire Motte","","",true,false,true,false,false,false,false,false,false,"","","","2014-04-09T07:01:36.821Z","2025-04-04T23:41:39.888Z","artists-club-coffre-fort","Belgique","Bruxelles","50.851304","4.3410815","Hopstraat 63, 1000, Bruxelles, Belgique","1000","","","1"
198,"/ 77",2015,,"progetto77.tumblr.com","progettosettantasette@gmail.com","Via Plinio 43","On appointment","<p><em>&nbsp;-English below- <br /><br /></em>/77 a &eacute;t&eacute; fond&eacute; &agrave; Milan en 2015 par Alessandro Moroni et Giulia Ratti. Jusqu'en 2017 en collectif avec Nicole Colombo et Luca Loreti<br />.&nbsp;Le but du collectif est de cr&eacute;er des&nbsp;partenariats et des&nbsp;projets qui impliquent des&nbsp;jeunes artistes, sans grande exp&eacute;rience de l'&nbsp;exposition.&nbsp;L'int&eacute;r&ecirc;t principal est de stimuler un d&eacute;bat collectif sur le travail et la&nbsp;recherche d'artistes individuels aussi et surtout &agrave; l'ext&eacute;rieur champ d'exposition.&nbsp;/ 77 vise &agrave; &ecirc;tre le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de&nbsp;leur travail.<br /><br />L'int&eacute;r&ecirc;t principal du collectif est l'exp&eacute;rimentation et la recherche.&nbsp;L'espace physique est un lieu o&ugrave; les travaux sont au pouvoir, un laboratoire o&ugrave; les id&eacute;es sont en cours d'&eacute;laboration.&nbsp;Avec notre travail, nous cr&eacute;ons un r&eacute;seau entre les artistes, les &oelig;uvres et les institutions maintiennent toujours vivant le d&eacute;bat sur l'art contemporain et de l'actualit&eacute;.&nbsp;Notre pratique est de comprendre et de r&eacute;pondre aux besoins des jeunes artistes en leur offrant la possibilit&eacute; de d&eacute;velopper des projets qui leur permettront d'approfondir leur recherche.</p>
<p>--</p>
<p><em>/77 was founded in Milan in 2015 by Alessandro Moroni and Giulia Ratti. Up to 2017 it has been run together with Nicole Colombo and Luca Loreti.</em><br /><em>/77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective&nbsp;debate&nbsp;around the work and the research of each artist alongside, as well as beside, the context of the exhibition.</em><br /><br /><em>/77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective&nbsp;debate&nbsp;around the work and the research of each artist alongside, as well as beside, the context of the exhibition.</em><br /><br /><em>We chose to work with young artists exclusively because we are interested inexperimentation&nbsp;and&nbsp;research&nbsp;in its embryonic stage. The frame of the studio as an art space in which&nbsp;the artwork is not fully concluded yet&nbsp;or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.</em><br /><br /><em>We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.</em></p>
<p>&nbsp;</p>","Giulia Ratti, Alessandro Moroni.","","<p>All of the activities that we will&nbsp; develop and organize will have&nbsp;no&nbsp;budget&nbsp;and no lucrative aims: this will not be a limit but it will&nbsp; turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration.</p>
<p>Tell us who you are, introduce your project or just step by to have a look.</p>",true,false,true,true,true,false,false,true,false,"","","","2016-10-05T08:13:18.252Z","2025-03-01T21:09:28.884Z","77","Italy","Milano","45.4766129","9.218095199999999","Via Plinio 43, , Milano, Italy","","","","1"
77,"Island",2012,,"www.islandisland.be","info@islandisland.be","155 chaussée de Wavre","","<p>Island is a non profit art space, opened in 2012 by Belgian artists S&eacute;bastien Bonin and Brice Guilbert. Since its opening, Island&rsquo;s aim has been to promote artists and their work through exhibitions, conferences, screenings, etc. Mainly focusing on the belgian scene, Island has been presenting emerging artists.<br />Island also collaborates with established artists to encourage the transmission of skills<br />and experience/best practice. Island is a place for sharing and creating contemporary propositions.<br />It is also a space where artists are allowed to experiment, not constrained by a curatorial lead.<br />This allows for a multitude of propositions to emerge, often antithetical and opposite. Therefore, every exhibition is unique, conceived according to its own criteria without referencing previous projects.</p>","Sébastien Bonin and Brice Guilbert","","",true,false,true,false,false,false,false,false,false,"","","","2014-04-09T07:01:36.943Z","2025-04-04T23:52:18.551Z","island","Belgique","Bruxelles","50.8355038","4.3701134","155 chaussée de Wavre, 1050, Bruxelles, Belgique","1050","","","1"
5,"Immanence",2000,,"www.art-immanence.org","newimmanence@gmail.com","21 avenue du Maine","Du jeudi au samedi
de 14h à 18h et sur rendez-vous","<p>Immanence est un lieu d'exposition, de diffusion, de production, d'exp&eacute;rimentation en faveur de la cr&eacute;ation contemporaine, rendant compte des divers champs artistiques actuels.</p>
<p>Immanence est un lieu tremplin pour les artistes contemporains.</p>
<p>Immanence favorise la multiplicit&eacute; et la diversit&eacute; des mediums (peinture, vid&eacute;o, art num&eacute;rique, musique, danse, performances, installations, design, architecture...) offrant aux publics un large &eacute;ventail de propositions et de cr&eacute;ation.</p>
<p>Immanence est un espace d'art contemporain au service des publics facilitant ainsi l'acc&egrave;s au plus grand nombre &agrave; la cr&eacute;ation contemporaine.</p>
<p>Immanence met en relation aussi bien le public amateur que professionnel avec la recherche artistique contemporaine.</p>
<p>Immanence propose des &eacute;v&egrave;nements dans et hors les murs en d&eacute;veloppant des liens avec des structures connexes en France et &agrave; l'&eacute;tranger pour construire des projets communs.</p>
<p>Immanence propose des collaborations ponctuelles &agrave; de jeunes commissaires d'exposition afin d'ouvrir le projet &agrave; diff&eacute;rentes perspectives.</p>
<p>Centre de documentation et de recherche d'Immanence<br />Archive Station est constitu&eacute; d'un ensemble de 5 000 pi&egrave;ces. Ce projet s'articule autour de collections exceptionnelles de livres d'artistes, de documents originaux, manuscrits, correspondances, multiples d'artistes ainsi qu'un ensemble de photographies, affiches, tracts, prospectus, p&eacute;riodiques, maquettes de livres, collages, fonds priv&eacute;s d'artistes, disques vinyle, bandes magn&eacute;tiques, cassettes et documents divers.</p>","Frederic Vincent et Cannelle Tanc","<p>Le 21 avenue du Maine est un des hauts lieux m&eacute;connu de la cr&eacute;ation artistique &agrave; Paris.</p>
<p>Aujourd&rsquo;hui pr&eacute;serv&eacute; de la sp&eacute;culation immobili&egrave;re, et propri&eacute;t&eacute; de la ville de Paris, il est un lieu de m&eacute;moire, un des &icirc;lots t&eacute;moins de la vie artistique de Montparnasse, compos&eacute; d&rsquo;un ensemble d&rsquo;ateliers implant&eacute;s depuis le d&eacute;but du si&egrave;cle dans une petite impasse dont les b&acirc;timents en brique et verre sont enfouis sous la vigne vierge.</p>
<p>Nomm&eacute; par ses occupants, l&rsquo;all&eacute;e, l&rsquo;impasse ou le chemin, le 21 avenue du Maine &eacute;tait autrefois le 3 chauss&eacute;e du Maine. Propri&eacute;t&eacute; en 1861 de messieurs Goufier et Bauban, c&rsquo;&eacute;tait un relais de poste o&ugrave; l&rsquo;on changeait l&rsquo;attelage des chevaux.<br />Le 19 janvier 1869, Jean-Adolphe Roux, avocat ach&egrave;te l&rsquo;ensemble des b&acirc;timents, il les modernise. &Agrave; partir de 1900 jusqu&rsquo;&agrave; nos jours se succ&egrave;deront &agrave; cette adresse, de nombreux artistes, artisans, imprimeurs.</p>
<p>Malgr&eacute; les guerres, les projets immobiliers et les vicissitudes de la vie, le 21 avenue du Maine est toujours pr&eacute;sent dans le paysage culturel parisien. Il a travers&eacute; le XX&egrave;me si&egrave;cle en vivant debout tous les bouleversements artistiques. T&eacute;moin du m&eacute;lange des genres, ce lieu a vu &eacute;merger et se d&eacute;velopper les avant-gardes du d&eacute;but du si&egrave;cle, l&rsquo;&Eacute;cole de Paris, la po&eacute;sie sonore et l&rsquo;art contemporain. Gr&acirc;ce &agrave; ses occupants, artistes, architectes, com&eacute;diens, graphistes, cin&eacute;astes, d&eacute;corateurs, le 21 avenue du Maine est tourn&eacute;e vers l&rsquo;avenir, celui d&rsquo;un int&eacute;r&ecirc;t pour l&rsquo;art, l&rsquo;&eacute;cologie, l&rsquo;&eacute;galit&eacute; de genre, la promotion de la nouvelle sc&egrave;ne artistique. Au-del&agrave; de sa long&eacute;vit&eacute;, le 21 symbolise &agrave; lui seul l&rsquo;avenir d&rsquo;une ville, c&rsquo;est-&agrave;-dire, l&rsquo;accueil et le partage.</p>
<p>Cannelle Tanc et Fr&eacute;d&eacute;ric Vincent ont &eacute;crit une petite histoire du 21 avenue du Maine &agrave; l&rsquo;occasion des journ&eacute;es du patrimoine 2022, une petite brochure &eacute;dit&eacute;e par la Semaest est t&eacute;l&eacute;chargeable ici gratuitement en recopiant le lien ci-dessous.</p>
<p>https://hal.science/hal-04261175/document</p>","",true,true,true,true,false,true,false,false,false,"","","","2013-11-08T15:51:40.601Z","2025-03-02T09:00:55.460Z","immanence","France","Paris","48.8433602","2.3208126","21 avenue du Maine, 75015, Paris, France","75015","","","1"
