texte,processed_text
"H E C T O L I T E R is a project space for contemporary art based in Brussels, Belgium.Founded in 2009 by Tine Ringelé and Nico Sall . Joined by Christophe Piette in 2015.H E C T O L I T E R is a non-profit organisation.",project space contemporary art based brussels belgium founded tine ringelé nico sall joined christophe piette non profit organisation
"All of the activities that we will develop and organize will have no budget and no lucrative aims: this will not be a limit but it will turn to our advantage in the goal of creating an environment of unselfish sharing and collaboration. Tell us who you are, introduce your project or just step by to have a look. -English below- /77 a été fondé à Milan en 2015 par Alessandro Moroni et Giulia Ratti. Jusqu'en 2017 en collectif avec Nicole Colombo et Luca Loreti. Le but du collectif est de créer des partenariats et des projets qui impliquent des jeunes artistes, sans grande expérience de l' exposition. L'intérêt principal est de stimuler un débat collectif sur le travail et la recherche d'artistes individuels aussi et surtout à l'extérieur champ d'exposition. / 77 vise à être le meilleur environnement possible pour afficher, document, conception, rencontrer et discuter de leur travail.L'intérêt principal du collectif est l'expérimentation et la recherche. L'espace physique est un lieu où les travaux sont au pouvoir, un laboratoire où les idées sont en cours d'élaboration. Avec notre travail, nous créons un réseau entre les artistes, les œuvres et les institutions maintiennent toujours vivant le débat sur l'art contemporain et de l'actualité. Notre pratique est de comprendre et de répondre aux besoins des jeunes artistes en leur offrant la possibilité de développer des projets qui leur permettront d'approfondir leur recherche. -- /77 was founded in Milan in 2015 by Alessandro Moroni and Giulia Ratti. Up to 2017 it has been run together with Nicole Colombo and Luca Loreti./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition./77 is an artist-run studio open to collaborations and external projects involving young artists and art students whose work has not been exhibited yet. Our main focus is on creating a collective debate around the work and the research of each artist alongside, as well as beside, the context of the exhibition.We chose to work with young artists exclusively because we are interested inexperimentation and research in its embryonic stage. The frame of the studio as an art space in which the artwork is not fully concluded yet or a laboratory were ideas are still developing, perfectly represents our guideline. /77 proposes itself as a place for showing, documenting, designing and discussing your work while having the chance of talking about it with others.We aim at creating a network of young artists and artworks keeping alive the debate around contemporary art and current issues.",activities develop organize budget lucrative aims limit turn advantage goal creating environment unselfish sharing collaboration tell introduce project just step look english été fondé milan alessandro moroni giulia ratti jusqu collectif avec nicole colombo luca loreti collectif créer partenariats projets qui impliquent jeunes artistes sans grande expérience exposition intérêt principal stimuler débat collectif travail recherche artistes individuels aussi surtout extérieur champ exposition vise meilleur environnement possible afficher document conception rencontrer discuter leur travail intérêt principal collectif expérimentation recherche espace physique lieu travaux pouvoir laboratoire idées cours élaboration avec notre travail nous créons réseau entre artistes œuvres institutions maintiennent toujours vivant débat art contemporain actualité notre pratique comprendre répondre aux besoins jeunes artistes leur offrant possibilité développer projets qui leur permettront approfondir leur recherche founded milan alessandro moroni giulia ratti nicole colombo luca loreti artist studio collaborations external projects involving young artists art students work exhibited main focus creating collective debate work research artist alongside context exhibition artist studio collaborations external projects involving young artists art students work exhibited main focus creating collective debate work research artist alongside context exhibition chose work young artists exclusively interested inexperimentation research embryonic stage frame studio art space artwork fully concluded laboratory ideas developing perfectly represents guideline proposes showing documenting designing discussing work having chance talking aim creating network young artists artworks keeping alive debate contemporary art current issues
"Immantique is a place of exhibition, diffusion, production, experimentation in favour of contemporary creation, resulting in various fields of contemporary art. Immanence is a very primitive place for contemporary artists. Immanence promotes the diversity and diversity of the media (painting, video, digital art, dance, performance, installations, design, architecture...) offering to the public a wide range of proposals and creation. Immanence is a space of contemporary art in the service of contemporary artists. Immanence is also associated with the diversity and diversity of contemporary artists. The 21st Avenue of Maine is one of the high places of artistic creation in Paris. Today it is preserved from the real estate speculation, and property of the city of Paris, it is a monumental place, one of the islands of Montparnasse's artistic life, composed of a set of workshops built from the beginning of the century into a small fortress where buildings in brick and glass are buried under the vineyard. Named by its occupations, alley, impregnated or street, the 21st Avenue of Maine was sometimes the chassis of the Maine. Property in 1861 of the Goufier and Bauban women, it was a line of post where the 19th century was changed to the King's. Immania was created in 1998 at a time when many artists appeared. These exhibition sites were also a response to a particular situation. The context of the period is: The financial crisis in France will see the expansion of the market of art, starting in the first years of this century. The artists are no longer able to expose themselves in the galleries after the others. They will create their own structures of art. They are more complex and the financial crisis is not only false, they are added to the generation crisis in the world of art. There are times when the artistic work of an artist is related to one or more exhibitions. Sometimes the artistic practice is removed from the curator's practice. Whatever is, this dual practice of a curator is said to be completely occupied and lived. In the fundamental artists of the place, the artistic activity is parallel to the management of an exhibition. These artists show an alternative mode of operation of a line. An exhibition, organized by an artist-run, perhaps a model of design.",immantique exhibition diffusion production experimentation favour contemporary creation resulting various fields contemporary art immanence primitive contemporary artists immanence promotes diversity diversity media painting video digital art dance performance installations design architecture offering public wide range proposals creation immanence space contemporary art service contemporary artists immanence associated diversity diversity contemporary artists 21st avenue maine high places artistic creation paris today preserved real estate speculation property city paris monumental islands montparnasse artistic life composed set workshops built beginning century fortress buildings brick glass buried vineyard named occupations alley impregnated street 21st avenue maine chassis maine property goufier bauban women line post 19th century changed king immania created artists appeared exhibition sites response particular situation context period financial crisis france expansion market art starting years century artists longer able expose galleries create structures art complex financial crisis false added generation crisis world art times artistic work artist related exhibitions artistic practice removed curator practice dual practice curator said completely occupied lived fundamental artists artistic activity parallel management exhibition artists alternative mode operation line exhibition organized artist model design
"Kings Artist Run is a non-for-profit gallery in Melbourne’s CBD Kings Artist Run provides a location for contemporary art practice, supporting distinctive experimental projects by artists at all stages of their careers. Kings ARI assists and promotes the development of solo exhibitions, group and thematic projects, along with a program of events that includes performance, film screenings, public gatherings and talks. Functioning as a collective of artists, writers, curators and academics, Kings Artist Run was formed to explore, interpret and participate in the mediation of new social and cultural meanings. In 2013 Kings Artist Run celebrated its 10th anniversary.",kings artist non profit gallery melbourne cbd kings artist provides location contemporary art practice supporting distinctive experimental projects artists stages careers kings ari assists promotes development solo exhibitions group thematic projects program events includes performance film screenings public gatherings talks functioning collective artists writers curators academics kings artist formed explore interpret participate mediation social cultural meanings kings artist celebrated 10th anniversary
"The Association Quellcollectiv emerges from the association of several residents in a building that connects cultural operators collectively through the metropolitan region of Nuremberg. The association operates the gallery ""Today:_"" and supports ""We buy the source"". Our members are creative and performers artists, designers, artists, architects, musicians, activists, authors, organizers, editors and others who create culture professionally or in their free time.",association quellcollectiv emerges association residents building connects cultural operators collectively metropolitan region nuremberg association operates gallery today supports buy source members creative performers artists designers artists architects musicians activists authors organizers editors create culture professionally free
"Created in 2007, by the plastic artist Jean-François Courtillat, the RDV is dedicated to contemporary creation, offering a space of discovery and exchange for artists and audiences. RDV follows the Ipso Facto Gallery, based on Nantes from 1997 to 2007 and an important place for creation and plastics. The Gallery welcomes in average seven annual exhibitions and organizes two or three out of its walls. They are all unique projects. The contemporary creation stands out for its plurality today: photography, painting, sculpture, video, performance.... And it is based on this richness that the design and design of RDV is designed to produce a new product.",created plastic artist jean françois courtillat rdv dedicated contemporary creation offering space discovery exchange artists audiences rdv follows ipso facto gallery based nantes important creation plastics gallery welcomes average seven annual exhibitions organizes walls unique projects contemporary creation stands plurality today photography painting sculpture video performance based richness design design rdv designed produce product
"West Space Projects are programmed to run alongside our application-based program and provide support to artist-initiated/ developed exhibitions, publications, sound releases, performances, international exchanges and forums. These ambitious projects negotiate innovative approaches to cultural debate, production, presentation, collaboration and exchange. They extend across artforms and into non-arts areas. The West Space Projects Program enables West Space to actively generate, contribute to and support quality cultural development, alongside performing the more usual artist-run-space role of presenting an application-based exhibition program. West Space was established in 1993 in Footscray by Brett Jones and Sarah Stubbs and was, at the time, one of the few artist-run initiatives to present a critically engaged, multi-art form program accessible to practitioners through peer-assessed applications. The organisation quickly grew in stature and reputation, moving premises in 2000 with the assistance of the City of Melbourne to a location in Anthony Street, between RMIT University and the Queen Victoria Market. In 2011 West Space began an exciting new chapter, moving to our much larger and centrally located current site, at Level 1 of the City of Melbourne owned building City Village at 225 Bourke Street. This substantially greater size has enabled us to radically expand our artistic program, offering more opportunities for audiences to engage with innovative arts events in the heart of Melbourne. West Space has developed a significant reputation amongst Australian and international arts organisations. This has been forged through a sustained belief in the importance of artist-run culture to practitioners, audiences and the art industry, and has manifested in a critically renowned exhibition program and a prolific range of self-generated projects and publications. Over the past 22 years West Space has exhibited over 2500 individual artists, produced 45 publications and a journal comprising 13 issues, and developed over 60 projects, including 10 international projects in Singapore, Milan, Vancouver, Toronto, Osaka, Seoul, Glasgow, Hong Kong, Oyama and Paris.",west space projects programmed alongside application based program provide support artist initiated developed exhibitions publications sound releases performances international exchanges forums ambitious projects negotiate innovative approaches cultural debate production presentation collaboration exchange extend artforms non arts areas west space projects program enables west space actively generate contribute support quality cultural development alongside performing usual artist space role presenting application based exhibition program west space established footscray brett jones sarah stubbs artist initiatives present critically engaged multi art form program accessible practitioners peer assessed applications organisation quickly grew stature reputation moving premises assistance city melbourne location anthony street rmit university queen victoria market west space began exciting chapter moving larger centrally current level city melbourne owned building city village bourke street substantially greater size enabled radically expand artistic program offering opportunities audiences engage innovative arts events heart melbourne west space developed significant reputation australian international arts organisations forged sustained belief importance artist culture practitioners audiences art industry manifested critically renowned exhibition program prolific range self generated projects publications past years west space exhibited individual artists produced publications journal comprising issues developed projects including international projects singapore milan vancouver toronto osaka seoul glasgow hong kong oyama paris
"Art contemporain / Contemporary Art 1 In literature, the front is – with the peripheral elements of the work – an introduction and precision tool. Edited by a third, it provides an additional look, indicates guidance and provides details in order to enable the reader to create his own area of questions. 2 The front is both considered as an area of association for artists and the public and as a factory of interest ready to be raised and discussed through, and throughout, exhibition experiences. 3 Each exhibition is designed as an invitation to form and produce new items in an artistic work. Direction / Director : Gabrielle Besk, Naïs Calmettes, Rémi Dupeyrat Librairie / Bookstore : Théophile’s Papers Graphisme et identitée / Design and identity : VLF",art contemporain contemporary art literature peripheral elements work introduction precision tool edited provides additional look indicates guidance provides details order enable reader create area questions considered area association artists public factory ready raised discussed exhibition experiences exhibition designed invitation form produce items artistic work direction director gabrielle besk naïs calmettes rémi dupeyrat librairie bookstore théophile papers graphisme identitée design identity vlf
"Ever since periscope started operating, the project space turned out to be extremely versatile. Now we can say: When we start new projects this one of our propositions. We are very interested in continuously putting this Versatility to the test. periscope prefers to realize and helps visualing, projects which are distinctive,room-filling and -changing and are dealing with the special space situations we offer. periscope is an event-led off-space for young (visual) artists, which exists and operates since 2006 in the City of Salzburg. (Austria) Ever since then periscope continuously helps realising, presenting and promoting projects of young contemporary artists. It is an ambiton to work as a vital inclusive space. ∎ periscope stands for our intentions: we wanted to generate a stable platform for young artists, offer a place to present, discuss and develop projects. We wanted to cooperate and link with different people, organisations and social networks, bring together different people with similar interests. We wanted gain for young art and artist, as well as for periscope as an by artists organised space a place and support in the Salzburg art landscape. ∎ A periscope is an instrument for observation from a concealed position. periscope: the name seemed to fit: in under water concealed submarines they give a panorama view of the surface. periscope stands für a glimpse of another new sphere, stands for deliberatly seeking contact, and stands for readily connecting. Apart from periscope:project:space, which is the infrastructure we can offer, periscope also offers personal support by each member and friend for projects to be realised. ∎ periscope exists as non-profit organisation, with the legal structure of an registered association. The Initiative is carried by commited friends and interested Zeitgenossen on a voluntary basis. Founding members and Initiators are the three young artists: Stefan Heizinger Elisabeth Schmirl Bernhard Lochmann Karin Peyker (seit 2009) Laila Huber (seit 2011)",periscope started operating project space turned extremely versatile say start projects propositions interested continuously putting versatility test periscope prefers realize helps visualing projects distinctive room filling changing dealing special space situations offer periscope event led space young visual artists exists operates city salzburg austria periscope continuously helps realising presenting promoting projects young contemporary artists ambiton work vital inclusive space periscope stands intentions wanted generate stable platform young artists offer present discuss develop projects wanted cooperate link different people organisations social networks bring different people similar interests wanted gain young art artist periscope artists organised space support salzburg art landscape periscope instrument observation concealed position periscope fit water concealed submarines panorama view surface periscope stands für glimpse sphere stands deliberatly seeking contact stands readily connecting apart periscope project space infrastructure offer periscope personal support member friend projects realised periscope exists non profit organisation legal structure registered association initiative carried commited friends interested zeitgenossen voluntary basis founding members initiators young artists stefan heizinger elisabeth schmirl bernhard lochmann karin peyker seit laila huber seit
"""Our goal is to invest live places to produce sense and shapes by organizing contemporary art exhibitions.The impasse, which is the name of our association, repeats the place's address and refers to the fragility of its situation. Also, our legitimacy is based on the fact that the place is missing, and on the idea that an empty place can and must open up a social or cultural activity. This space allows to expand the Paris art scene by making it visible the work of young artists who already constitute it by their activity and their reflection.The realization of the exhibitions follows two principles, the one of which is free of money, and that they are held free of charge, and their access to art is free of charge;",goal invest live places produce sense shapes organizing contemporary art exhibitions impasse association repeats address refers fragility situation legitimacy based fact missing idea social cultural activity space allows expand paris art scene making visible work young artists constitute activity reflection realization exhibitions follows principles free money held free charge access art free charge
"Modern art diffusion: - to ensure production or participate in the movement of unique parts and projects, - to invite you to see these productions through the installation of exhibitions, - to communicate around artists' projects is to defend artists. The exhibition as a research and exploration tool, Neon has been proposing, since March 2000, an eclectic programming, which promotes the plurality of the debates that generate artists' projects for most emerging ones.The goal is to value the latest artistic production: - to create or develop links between the artist and the cultural professional network, - to ensure mediation between the artist's project and his audience. Neon is an association of law 1901 capable of receiving gifts, created in 1999 by Basile Bachès, Stéphane Cateland, Julie Rodriguez-Malti, Julie Seror and Mélanie Verdelet. The association has been developed with the active participation of Lorraine Ferrat for more than 3 years, with the regular or partial participation of Alexandre Joly, Olivier Manfred, Maxime Rizard, Jean Alain Core, Mattie Schmittel, Samuel Moncharmont, Emmanuelle Firmman, Martin Schmied, Carla Casal, Kalagan Delberghe, Olivia Nawort.Guillaume Goux, Eric Fousssssoul, Cécile Caed, Gregory Coude, Freder, Frederic Coude, Damien Beguet, Vanaguet, Juan Dubourget, Michele, Michel, Michel, Michele, Michele, Michele, Michele, Michele, Michele, and Charlie, Charlie, and Charlie, and Charliene, and David.",modern art diffusion ensure production participate movement unique parts projects invite productions installation exhibitions communicate artists projects defend artists exhibition research exploration tool neon proposing march eclectic programming promotes plurality debates generate artists projects emerging ones goal value latest artistic production create develop links artist cultural professional network ensure mediation artist project audience neon association law capable receiving gifts created basile bachès stéphane cateland julie rodriguez malti julie seror mélanie verdelet association developed active participation lorraine ferrat years regular partial participation alexandre joly olivier manfred maxime rizard jean alain core mattie schmittel samuel moncharmont emmanuelle firmman martin schmied carla casal kalagan delberghe olivia nawort guillaume goux eric fousssssoul cécile caed gregory coude freder frederic coude damien beguet vanaguet juan dubourget michele michel michel michele michele michele michele michele michele charlie charlie charlie charliene david
